GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejercicio-logica-I,es.ies.puerto.exercise04,QuidditchMatch,6,97,3,11,3,25,4,10,1,6
ejercicio-logica-I,es.ies.puerto.exercise04,Exercise04,55,0,0,0,17,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise03,Droid,41,19,6,0,11,8,9,3,6,3
ejercicio-logica-I,es.ies.puerto.exercise03,DroidFactory,27,73,3,4,5,20,2,6,0,4
ejercicio-logica-I,es.ies.puerto.exercise03,Exercise03,38,0,0,0,14,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise06,Exercise06,32,0,0,0,10,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise06,TardisSimulation,3,64,1,7,2,18,1,8,0,5
ejercicio-logica-I,es.ies.puerto.exercise05,Exercise05,32,0,0,0,10,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise05,JediTravel,3,64,1,7,2,18,1,8,0,5
ejercicio-logica-I,es.ies.puerto.exercise10,MagicBattle,3,65,1,7,2,20,1,8,0,5
ejercicio-logica-I,es.ies.puerto.exercise10,Exercise10,32,0,0,0,10,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise02,Exercise02,55,0,0,0,17,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise02,HuntHorrocruxes,23,106,5,7,5,31,4,9,0,7
ejercicio-logica-I,es.ies.puerto.exercise01,PokemonBattle,15,65,1,9,5,22,2,9,1,5
ejercicio-logica-I,es.ies.puerto.exercise01,Exercise01,32,0,0,0,10,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise08,StrengthCompetition,3,76,1,7,2,23,1,8,0,5
ejercicio-logica-I,es.ies.puerto.exercise08,Exercise08,40,0,0,0,15,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise07,Exercise07,72,0,0,0,12,0,2,0,2,0
ejercicio-logica-I,es.ies.puerto.exercise07,CitySavingByHeroes,6,92,3,9,3,28,4,9,1,6
ejercicio-logica-I,es.ies.puerto.exercise09,MillenniumFalconSimulator,36,72,11,7,10,23,7,7,0,5
ejercicio-logica-I,es.ies.puerto.exercise09,Exercise09,40,0,0,0,15,0,2,0,2,0
